iter	Logloss
0	0.6626390111
5	0.5447727687
10	0.4679346348
15	0.4171927428
20	0.3827797541
25	0.3591513297
30	0.3426448899
35	0.3302192457
40	0.3206797408
45	0.3129684666
50	0.3068045114
55	0.3018300212
60	0.2976275219
65	0.2940933998
70	0.2911270076
75	0.2887107586
80	0.2866044766
85	0.2847859132
90	0.2831840064
95	0.2818029672
100	0.2806138995
105	0.2795559115
110	0.2785873672
115	0.277764364
120	0.2770340888
125	0.2763747964
130	0.2757808187
135	0.2752799132
140	0.2747887282
145	0.2743571104
150	0.2739511047
155	0.2735948664
160	0.2732629689
165	0.2729655828
170	0.2726786057
175	0.2724298746
180	0.272196267
185	0.2719879537
190	0.2717873743
195	0.2715996672
200	0.2714300501
205	0.2712826549
210	0.2711311013
215	0.2709939297
220	0.2708623996
225	0.2707490655
230	0.270637612
235	0.27052298
240	0.2704195782
245	0.270333207
250	0.2702384397
255	0.2701587959
260	0.2700842375
265	0.2700155855
270	0.2699444173
275	0.2698751031
280	0.2698158272
285	0.2697590939
290	0.2696991558
295	0.2696485938
300	0.2695952508
305	0.2695505687
310	0.2695048007
315	0.2694621846
320	0.2694239916
325	0.2693870434
330	0.2693478175
335	0.2693132796
340	0.2692795363
345	0.2692393568
350	0.2692032033
355	0.2691764258
360	0.2691441922
365	0.2691181829
370	0.2690900546
375	0.2690684419
380	0.2690417704
385	0.2690166616
390	0.2689911025
395	0.2689704433
400	0.2689430037
405	0.268920517
410	0.2689006789
415	0.2688825359
420	0.2688616913
425	0.2688388073
430	0.2688175389
435	0.2687990251
440	0.2687784984
445	0.2687599051
450	0.2687429275
455	0.2687234602
460	0.2687027746
465	0.2686879953
470	0.2686713621
475	0.2686521596
480	0.2686373274
485	0.2686178866
490	0.2686041403
495	0.2685849379
500	0.2685728602
505	0.2685611003
510	0.2685473805
515	0.2685317272
520	0.2685176896
525	0.2685039433
530	0.2684854295
535	0.2684723454
540	0.2684556326
545	0.2684458063
550	0.2684297027
555	0.2684162213
560	0.2684027928
565	0.2683889671
570	0.2683763597
575	0.268365262
580	0.2683530784
585	0.2683390672
590	0.2683291084
595	0.26831666
600	0.2683050855
605	0.2682996294
610	0.2682875252
615	0.2682747854
620	0.2682587348
625	0.2682458891
630	0.268236407
635	0.2682258391
640	0.2682171516
645	0.2682073518
650	0.2681992205
655	0.2681909039
660	0.2681832759
665	0.2681733171
670	0.2681628286
675	0.2681488704
680	0.2681375079
685	0.268126834
690	0.2681140147
695	0.2681005333
700	0.2680875021
705	0.2680789736
710	0.2680717428
715	0.2680615987
720	0.2680542885
725	0.2680462897
730	0.2680349801
735	0.2680250743
740	0.2680149301
745	0.2680051567
750	0.2679949331
755	0.2679861662
760	0.2679791209
765	0.2679729496
770	0.2679637589
775	0.2679556277
780	0.2679485294
785	0.2679356042
790	0.2679261751
795	0.2679183882
800	0.2679089592
805	0.2678984707
810	0.2678885649
815	0.2678808044
820	0.2678737326
825	0.2678651776
830	0.2678592447
835	0.2678514048
840	0.2678414196
845	0.2678334472
850	0.2678233825
855	0.2678150924
860	0.2678042331
865	0.2677942213
870	0.2677837328
875	0.2677733767
880	0.2677634974
885	0.2677545716
890	0.2677457782
895	0.2677352367
900	0.2677248012
905	0.267716511
910	0.2677098895
915	0.2677019437
920	0.2676947659
925	0.267686105
930	0.2676758284
935	0.2676673528
940	0.2676568378
945	0.2676481768
950	0.2676358078
955	0.2676241275
960	0.267617453
965	0.2676097455
970	0.2675995219
975	0.2675899074
980	0.2675828091
985	0.2675710228
990	0.2675637921
995	0.2675531711
1000	0.2675437421
1005	0.2675347368
1010	0.2675264202
1015	0.2675172295
1020	0.267512356
1025	0.2675040129
1030	0.2674946103
1035	0.2674841218
1040	0.2674735539
1045	0.2674623238
1050	0.2674535833
1055	0.2674456375
1060	0.2674353609
1065	0.2674241573
1070	0.267418039
1075	0.2674070207
1080	0.2673974857
1085	0.2673884805
1090	0.267381753
1095	0.2673730391
1100	0.2673641397
1105	0.267354128
1110	0.2673461821
1115	0.2673374152
1120	0.2673297078
1125	0.2673224771
1130	0.2673133394
1135	0.2673045989
1140	0.2672960704
1145	0.2672883365
1150	0.2672781923
1155	0.2672688956
1160	0.2672594666
1165	0.2672525802
1170	0.267242489
1175	0.267232901
1180	0.2672231011
1185	0.2672137515
1190	0.2672043755
1195	0.2671974626
1200	0.2671888016
1205	0.2671795315
1210	0.2671698905
1215	0.2671622096
1220	0.2671506351
1225	0.2671429277
1230	0.2671372332
1235	0.2671289695
1240	0.2671236193
1245	0.2671154086
1250	0.2671059531
1255	0.2670979542
1260	0.26709173
1265	0.2670864593
1270	0.2670773745
1275	0.2670693757
1280	0.267062092
1285	0.2670525306
1290	0.2670437901
1295	0.2670376189
1300	0.2670273423
1305	0.2670145495
1310	0.2670056766
1315	0.2669959827
1320	0.2669883547
1325	0.266979164
1330	0.2669693906
1335	0.2669622659
1340	0.2669529428
1345	0.2669441494
1350	0.2669371305
1355	0.266925821
1360	0.2669184843
1365	0.2669107239
1370	0.2669042083
1375	0.266896236
1380	0.2668892172
1385	0.2668784373
1390	0.2668707828
1395	0.2668631813
1400	0.2668554738
1405	0.2668496469
1410	0.266840827
1415	0.2668317952
1420	0.2668232932
1425	0.2668133344
1430	0.2668052562
1435	0.26679784
1440	0.266788411
1445	0.2667800414
1450	0.266770321
1455	0.2667620308
1460	0.2667536612
1465	0.2667447884
1470	0.2667359155
1475	0.266731201
1480	0.2667233611
