iter	Passed	Remaining
0	16	33161
1	32	32353
2	57	38099
3	74	37038
4	89	35683
5	105	34934
6	120	34370
7	135	33859
8	151	33467
9	166	33135
10	182	32950
11	198	32809
12	216	33045
13	232	33019
14	253	33541
15	269	33415
16	284	33211
17	302	33294
18	318	33175
19	334	33085
20	351	33136
21	367	33060
22	383	32926
23	398	32822
24	414	32735
25	429	32600
26	444	32476
27	458	32321
28	474	32256
29	493	32430
30	509	32364
31	525	32324
32	541	32250
33	556	32166
34	572	32118
35	587	32038
36	603	32008
37	618	31948
38	634	31898
39	650	31855
40	669	31994
41	687	32052
42	702	31989
43	718	31947
44	736	32006
45	758	32212
46	773	32128
47	788	32056
48	803	31988
49	819	31962
50	835	31912
51	850	31855
52	867	31861
53	883	31849
54	902	31920
55	918	31882
56	933	31833
57	949	31792
58	968	31855
59	985	31862
60	1000	31805
61	1018	31839
62	1034	31796
63	1049	31758
64	1065	31713
65	1081	31698
66	1097	31654
67	1115	31686
68	1132	31685
69	1148	31672
70	1164	31637
71	1179	31594
72	1195	31547
73	1213	31585
74	1228	31540
75	1244	31501
76	1259	31455
77	1274	31411
78	1290	31368
79	1305	31324
80	1330	31521
81	1346	31493
82	1362	31468
83	1382	31533
84	1397	31482
85	1413	31452
86	1428	31420
87	1443	31371
88	1459	31333
89	1474	31293
90	1489	31253
91	1505	31213
92	1520	31177
93	1539	31213
94	1557	31224
95	1573	31212
96	1590	31195
97	1606	31173
98	1621	31138
99	1641	31190
100	1657	31155
101	1673	31136
102	1688	31098
103	1703	31059
104	1723	31096
105	1742	31128
106	1756	31078
107	1780	31197
108	1796	31166
109	1811	31117
110	1826	31088
111	1842	31060
112	1858	31031
113	1874	31003
114	1892	31023
115	1912	31068
116	1929	31060
117	1943	30993
118	1958	30949
119	1973	30911
120	1988	30880
121	2000	30797
122	2016	30775
123	2032	30746
124	2052	30788
125	2068	30757
126	2087	30779
127	2102	30742
128	2117	30711
129	2132	30673
130	2147	30640
131	2162	30606
132	2181	30617
133	2197	30598
134	2212	30562
135	2227	30535
136	2242	30500
137	2257	30461
138	2277	30489
139	2292	30463
140	2311	30476
141	2328	30466
142	2349	30515
143	2368	30527
144	2389	30574
145	2404	30535
146	2424	30560
147	2444	30587
148	2463	30603
149	2478	30571
150	2494	30539
151	2509	30515
152	2525	30491
153	2540	30457
154	2555	30421
155	2571	30394
156	2586	30365
157	2602	30336
158	2623	30381
159	2638	30343
160	2653	30310
161	2669	30288
162	2684	30254
163	2700	30234
164	2715	30204
165	2731	30175
166	2746	30147
167	2770	30210
168	2792	30256
169	2808	30236
170	2824	30210
171	2839	30178
172	2854	30150
173	2872	30144
174	2888	30124
175	2903	30090
176	2917	30051
177	2935	30049
178	2961	30128
179	2980	30136
180	2998	30131
